"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7902","Punjab","Installing community drinking water plants","WS/MP18152/2025-2026/274135","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","22-Jun-2026","brother traders","Payment Success","100000"
"7903","Punjab","Installing community drinking water plants","WS/MP18152/2025-2026/274180","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","14-May-2026","brother traders","Payment Success","150000"
"7904","Punjab","Installing community drinking water plants","WS/MP18152/2025-2026/274136","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","14-May-2026","brother traders","Payment Success","100000"
"7905","Punjab","Street lights","WS/MP18152/2025-2026/274107","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","13-May-2026","brother traders","Payment Success","150000"
"7906","Punjab","Street lights","WS/MP18152/2025-2026/274084","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","11-May-2026","brother traders","Payment Success","150000"
"7907","Punjab","Street lights","WS/MP18152/2025-2026/274117","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","16-Apr-2026","brother traders","Payment Success","249000"
"7908","Punjab","Street lights","WS/MP18152/2025-2026/274137","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","14-Jul-2026","brother traders","Payment Success","150000"
"7909","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18152/2025-2026/274129","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","04-Aug-2026","brother traders","Payment Success","103090"
"7910","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18152/2025-2026/274128","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","04-Aug-2026","brother traders","Payment Success","103090"
"7911","Punjab","Installing community drinking water plants","WS/MP18152/2025-2026/274133","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-May-2026","brother traders","Payment Success","100000"
"7912","Punjab","Installing community drinking water plants","WS/MP18152/2025-2026/274132","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","14-May-2026","brother traders","Payment Success","100000"
"7913","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18152/2026-2027/274266","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","17-Jul-2026","brother traders","Payment Success","227598"
"7914","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219462","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","23-May-2026","beant singh","Payment Success","32864"
"7915","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219462","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","23-May-2026","beant singh","Payment Success","34650"
"7916","Karnataka","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18089/2025-2026/233379","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","23-Jun-2026","REVANASIDDAPPAHANAVAL SRUJAN ENTERPRISES","Payment Success","375000"
"7917","Karnataka","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18089/2026-2027/261802","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","28-Jul-2026","REVANASIDDAPPAHANAVAL SRUJAN ENTERPRISES","Payment Success","120000"
"7918","Karnataka","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18089/2026-2027/261802","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","17-Apr-2026","REVANASIDDAPPAHANAVAL SRUJAN ENTERPRISES","Payment Success","375000"
"7919","Andhra Pradesh","Installing tube-wells and borewells","WS/MP18009/2025-2026/245032","Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA)","B K PARTHASARATHI","HINDUPUR","14-Apr-2026","UPPARA RAMACHANDRA","Payment Success","313189"
"7920","Karnataka","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18089/2026-2027/233381","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","17-Apr-2026","SHANKRAPPA HANUMANTAPPA NAYAK","Payment Success","375000"
"7921","Karnataka","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18089/2026-2027/233381","KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA)","K. RAJASHEKAR BASAVARAJ HITNAL","KOPPAL","28-Jul-2026","SHANKRAPPA HANUMANTAPPA NAYAK","Payment Success","120000"
