"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2388","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18232/2026-2027/235456","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","HARENDRA SINGH MALIK","MUZAFFARNAGAR","20-Aug-2026","RAJHANS","Payment In-Progress","239953"
"2389","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18112/2025-2026/188617","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","20-Jul-2026","BHOJRAJ MAJOOR SAH SANTHA SAWNER","Payment In-Progress","397004"
"2390","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP584/2025-2026/216838","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","04-Aug-2026","Vishri Construction And Paver Block","Payment In-Progress","424168"
"2391","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP584/2026-2027/158940","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","04-Aug-2026","JAY SOMNATH CONSTRUCTION","Payment In-Progress","199843"
"2392","Karnataka","Development of playground","WS/MP18082/2025-2026/208166","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","18-Jul-2026","SHIVANNA T","Payment In-Progress","300000"
"2393","Karnataka","Construction of community centers and community halls","WS/MP18076/2026-2027/210473","MANDYA(DEPUTY COMMISSIONER MANDYA_IDA)","DR C N MANJUNATH","BANGALORE RURAL","14-Aug-2026","T N ANANDA","Payment In-Progress","490000"
"2394","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18225/2025-2026/257615","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","PUSHPENDRA SAROJ","KAUSHAMBI(SC)","27-Jul-2026","CHARAN CONSTRUCTION","Payment In-Progress","971506"
"2395","Gujarat","Construction of community centers and community halls","WS/MP588/2025-2026/175004","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","06-Aug-2026","KRISHNA CONSTRUCTION","Payment In-Progress","720042"
"2396","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP692/2026-2027/183611","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Smt Supriya Sadanand Sule","BARAMATI","18-Aug-2026","SHUBHAM SUDHAKAR MOHITE","Payment In-Progress","497140"
"2397","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/198366","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Midhun Reddy","RAJAMPET","06-Aug-2026","VA MURALIDHAR","Payment In-Progress","365698"
"2398","Karnataka","Construction of community centers and community halls","WS/MP623/2026-2027/177404","VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","07-Aug-2026","TANVEER ABIDALI LASHKARI","Payment In-Progress","225000"
"2399","Maharashtra","Construction of community centers and community halls","WS/MP673/2026-2027/210710","LATUR(DISTRICT COLLECTOR LATUR_IDA)","Omprakash Bhupalsinh Alias Pawan Rajenimbalkar","OSMANABAD","25-Aug-2026","Rajiv Majur Sah So Ltd","Payment In-Progress","697773"
"2400","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241131","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","25-Jul-2026","SAI SHARAN CONSTRUCTION CO","Payment In-Progress","181130"
"2401","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241036","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","12-Aug-2026","SAI SHARAN CONSTRUCTION CO","Payment In-Progress","640858"
"2402","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241032","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","12-Aug-2026","SAI SHARAN CONSTRUCTION CO","Payment In-Progress","831192"
"2403","Gujarat","Providing drains and gutters for public drainage","WS/MP18344/2025-2026/187013","PORBANDAR(DISTRICT COLLECTOR PORBANDAR_IDA)","DR. MANSUKH MANDAVIYA","PORBANDAR","21-Aug-2026","TERI GRAM PANCHAYAT","Payment In-Progress","294228"
"2404","Karnataka","Construction of community centers and community halls","WS/MP623/2026-2027/177416","VIJAYAPURA(DEPUTY COMMISSIONER BIJAPUR_IDA)","Ramesh Chandappa Jigajinagi","BIJAPUR(SC)","07-Aug-2026","ASHWATHAM SHASAPPA REBINAL","Payment In-Progress","225000"
"2405","West Bengal","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP829/2025-2026/206641","HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA)","Smt Sajda Ahmed","ULUBERIA","19-Aug-2026","DILSHAN CONSTRUCTION","Payment In-Progress","176495"
"2406","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18169/2025-2026/247252","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","19-Aug-2026","Contractor Bhagwat Singh Chundawat","Payment In-Progress","498972"
"2407","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18212/2025-2026/208856","SITAPUR(DISTRICT MAGISTRATE SITAPUR_IDA)","ANAND BHADAURIYA","DHAURAHRA","04-Aug-2026","BACCHI DEVI SHIVRAJ SINGH SIKSHA SEWA SANSTHAN","Payment In-Progress","400000"
"2408","Karnataka","Lighting of public spaces","WS/MP18082/2025-2026/197042","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","14-Aug-2026","RANGANATH V K","Payment In-Progress","499478"
"2409","Karnataka","Construction of rooms and halls in school and colleges","WS/MP18082/2025-2026/187531","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","14-Aug-2026","JAYARAMAIAH","Payment In-Progress","499964"
"2410","Karnataka","Construction of community centers and community halls","WS/MP18082/2025-2026/219725","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","14-Aug-2026","RAMESH G M","Payment In-Progress","499459"
"2411","Karnataka","Construction of boundary walls of existing public and community buildings","WS/MP18082/2025-2026/219726","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","14-Aug-2026","RAMESH G M","Payment In-Progress","499964"
"2412","West Bengal","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP852/2025-2026/241490","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","23-Aug-2026","MD ROFIKUL ISLAM","Payment In-Progress","593883"
"2413","Rajasthan","Improvement of electricity distribution infrastructure","WS/MP18165/2026-2027/230338","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","MANJU SHARMA","JAIPUR","17-Aug-2026","JAIPUR VIDYUT VITRAN NIGAM LIMITED","Payment In-Progress","2191248"
"2414","Meghalaya","Construction of community centers and community halls","WS/MP18137/2026-2027/233828","WEST JAINTIA HILLS(DEPUTY COMMISSIONER WEST JAINTIA HILLS JOWAI_IDA)","ANDREW J. SYNGKON","SHILLONG","20-Aug-2026","Khanduli Village Organisation","Payment In-Progress","250000"
"2415","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2026-2027/267997","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","25-Jul-2026","MANOHARA","Payment In-Progress","499590"
"2416","Rajasthan","Providing sports equipment, except consumable items","WS/MP18170/2025-2026/223397","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","24-Jul-2026","STAR GALAXY NUTRITION","Payment In-Progress","300000"
"2417","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","18-Aug-2026","SHREE BALAJI CONSRTUCTION CO","Payment In-Progress","368458"
"2418","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18127/2026-2027/274226","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","21-Aug-2026","SAGAR RAJARAM MATALE","Payment In-Progress","986000"
"2419","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18086/2026-2027/190441","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","25-Aug-2026","Prasannakumar K S","Payment In-Progress","375000"
"2420","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP446/2026-2027/288629","CHHATARPUR(District Collector Chhatarpur_IDA)","Vishnu Dutt Sharma","KHAJURAHO","20-Aug-2026","GRAM PANCHAYAT PAHADI WAVAN","Payment In-Progress","360000"
"2421","Madhya Pradesh","Fitting of Sitting RCC Benches in Public Places","WS/MP18103/2026-2027/277952","GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA)","BHARAT SINGH KUSHWAH","GWALIOR","25-Aug-2026","A J CONSTRUCTION","Payment In-Progress","559057"
"2422","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/266270","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","07-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","673112"
"2423","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/266271","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","07-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","673112"
"2424","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264853","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2425","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264874","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2426","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264925","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2427","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264911","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2428","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264706","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2429","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264845","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2430","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/267002","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2431","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264717","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2432","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264852","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2433","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264847","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2434","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264923","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2435","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264870","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2436","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264857","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2437","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264858","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2438","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264692","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2439","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264710","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2440","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264660","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2441","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264691","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2442","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264685","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2443","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264670","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2444","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264671","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2445","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264856","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2446","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264669","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2447","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/264984","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2448","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264979","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2449","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264701","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2450","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264854","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2451","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264855","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2452","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264703","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2453","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264694","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2454","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264689","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2455","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264662","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2456","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264693","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2457","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264873","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2458","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264702","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2459","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/264982","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2460","Uttar Pradesh","Lighting of public spaces","WS/MP815/2025-2026/264983","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2461","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264846","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","10-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2462","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264715","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2463","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264779","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2464","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264850","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2465","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264912","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2466","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264909","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2467","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264926","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2468","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264913","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2469","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264639","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2470","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264696","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","14-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2471","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264908","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2472","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264918","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2473","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264687","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2474","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264919","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2475","Uttar Pradesh","Lighting of public spaces","WS/MP815/2026-2027/264661","Shrawasti(DISTRICT MAGISTRATE SHRAVASTI_IDA)","Ram Shiromani","SHRAWASTI","18-Aug-2026","NAVEEN ENTERPRISES","Payment In-Progress","221972"
"2476","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/229533","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","23-Aug-2026","Gram Panchayat bhanpur","Payment In-Progress","243359"
"2477","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP446/2026-2027/288625","CHHATARPUR(District Collector Chhatarpur_IDA)","Vishnu Dutt Sharma","KHAJURAHO","25-Aug-2026","GRAM PANCHAYAT NAYAGAON","Payment In-Progress","360000"
"2478","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP446/2026-2027/288624","CHHATARPUR(District Collector Chhatarpur_IDA)","Vishnu Dutt Sharma","KHAJURAHO","21-Aug-2026","GRAM PANCHAYAT DHAWAD","Payment In-Progress","600000"
"2479","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","KISHAN LAL","Payment In-Progress","15561"
"2480","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","NAVALKISHOR","Payment In-Progress","3861"
"2481","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","SARAJUDHIN","Payment In-Progress","3861"
"2482","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","ROHIT","Payment In-Progress","15561"
"2483","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227474","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","06-Aug-2026","KARAN","Payment In-Progress","3861"
"2484","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2026-2027/287626","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","25-Aug-2026","GRAM PANCHAYAT SANDIYA SFC","Payment In-Progress","100000"
"2485","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2026-2027/290505","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","25-Aug-2026","GRAM PANCHAYAT MATKULI SFC","Payment In-Progress","100000"
"2486","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241239","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","07-Aug-2026","TYAGI CONSTRUTION AND ORDER SUPPLIERS","Payment In-Progress","230926"
"2487","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP431/2025-2026/223818","REWARI(District Commissioner Rewari)","Rao Inderjit Singh","GURGAON","10-Aug-2026","Gram Panchayat Jaitpur Sekhpur","Payment In-Progress","371569"
"2488","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP490/2025-2026/241011","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","19-Aug-2026","S R CONSTRUCTION","Payment In-Progress","798152"
"2489","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2026-2027/267766","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","20-Aug-2026","MI CONSTRUCTION","Payment In-Progress","675635"
